,NUEVA CLASE,ORIGINAL (CIC17),LIMPIADO,80% (train),,,,,,,,,,,,,,,,,,,,
NÚMERO EXPERIMENTO,DESCRIPCIÓN EXPERIMENTO,N,μ ACCURACY," σ ACCURACY",μ PRECISION WEIGHTED,σ PRECISION WEIGHTED,μ RECALL WEIGHTED,σ RECALL WEIGHTED,μ F1 WEIGHTED," σ F1 WEIGHTED",μ PRECISION MACRO,σ PRECISION MACRO,μ RECALL MACRO,σ RECALL MACRO,μ F1 MACRO,σ F1 MACRO,μ MCC,σ MCC,μ AUC-ROC,σ AUC-ROC,μ FIT TIME,σ FIT TIME,μ SCORE TIME,σ SCORE TIME
,,10000,0.860952,0.001978,0.936428,0.000958,0.860952,0.001978,0.891616,0.001553,0.313418,0.005265,0.797131,0.032058,0.377297,0.006604,0.663554,0.002812,0.944043,0.000891,0.055533,0.000142,1.099976,0.057467
,,20000,0.882015,0.001929,0.943432,0.000896,0.882015,0.001929,0.907138,0.001454,0.334171,0.005239,0.805020,0.036471,0.401599,0.006557,0.701978,0.003395,0.953007,0.000644,0.130414,0.000542,1.233414,0.048846
,,30000,0.892155,0.001360,0.947073,0.000954,0.892155,0.001360,0.914668,0.001100,0.347520,0.004733,0.802695,0.031607,0.417001,0.005239,0.722157,0.002400,0.957393,0.000595,0.185522,0.003532,1.340033,0.199993
,,40000,0.899299,0.000859,0.949371,0.000915,0.899299,0.000859,0.919815,0.000729,0.357508,0.003664,0.808702,0.034830,0.428459,0.004107,0.736726,0.001412,0.960368,0.000419,0.316287,0.004296,1.501589,0.142936
7,RobustScaler + NearMiss/SMOTE,500,0.010812,0.009085,0.827335,0.016513,0.010812,0.009085,0.011224,0.008778,0.109634,0.052409,0.302154,0.063812,0.052244,0.042142,-0.001770,0.022611,0.502929,0.005231,0.002252,0.000000,0.654357,0.000482
,,1000,0.022864,0.005981,0.835661,0.010686,0.022864,0.005981,0.025766,0.007476,0.109277,0.044597,0.395514,0.044344,0.056786,0.037158,0.009458,0.019887,0.507460,0.003499,0.003766,0.000000,0.784541,0.001922
,,2000,0.038426,0.006855,0.838904,0.006861,0.038426,0.006855,0.038606,0.006241,0.105860,0.017329,0.521903,0.042903,0.063087,0.021119,0.029892,0.015128,0.512946,0.002835,0.006797,0.000000,0.815182,0.002034
,,5000,0.057309,0.022807,0.845367,0.007336,0.057309,0.022807,0.058488,0.031772,0.119336,0.017016,0.613228,0.044494,0.078985,0.023562,0.057905,0.020674,0.529944,0.009437,0.020527,0.000002,1.018002,0.002120
,,10000,0.083911,0.023894,0.832844,0.032076,0.083911,0.023894,0.096901,0.033070,0.132854,0.017724,0.639685,0.048589,0.101586,0.022696,0.072843,0.020764,0.535511,0.011860,0.046537,0.000000,1.215300,0.013554
,,20000,0.115724,0.026932,0.854160,0.014840,0.115724,0.026932,0.124888,0.043690,0.154152,0.009551,0.667740,0.040462,0.133906,0.017331,0.106344,0.017763,0.546078,0.014645,0.125420,0.000539,1.453830,0.002415
,,30000,0.149153,0.055965,0.860531,0.002993,0.149153,0.055965,0.158068,0.089167,0.156726,0.012699,0.686643,0.037681,0.146514,0.025498,0.139856,0.025968,0.564838,0.030867,0.173965,0.001460,1.611048,0.009533
,,40000,0.165207,0.060021,0.860593,0.004968,0.165207,0.060021,0.172375,0.097923,0.156012,0.016905,0.700399,0.035192,0.148970,0.029809,0.156158,0.026329,0.571615,0.032384,0.225022,0.000081,1.770125,0.215580
8,RobustScaler + NearMiss/SMOTE/ENN,500,0.018752,0.005561,0.834754,0.009967,0.018752,0.005561,0.025649,0.006112,0.109881,0.048351,0.322103,0.070388,0.053850,0.037736,0.000002,0.021220,0.506680,0.005291,0.002216,0.000000,0.635835,0.002362
,,1000,0.028306,0.003599,0.836444,0.009693,0.028306,0.003599,0.033473,0.003157,0.111117,0.040787,0.408934,0.052229,0.061180,0.033319,0.010640,0.019596,0.510298,0.004534,0.003519,0.000000,0.664105,0.000334
,,2000,0.040624,0.004178,0.802385,0.082253,0.040624,0.004178,0.041857,0.005818,0.098584,0.020924,0.531070,0.041151,0.056971,0.022675,0.026937,0.013009,0.512943,0.008359,0.008709,0.000007,0.764094,0.001358
,,5000,0.062291,0.021426,0.843710,0.007773,0.062291,0.021426,0.064986,0.030743,0.112287,0.019239,0.626303,0.041923,0.071461,0.025016,0.058929,0.019169,0.531106,0.009369,0.018272,0.000000,0.950628,0.001059
,,10000,0.090756,0.022728,0.834801,0.024653,0.090756,0.022728,0.107968,0.034512,0.127566,0.020366,0.647786,0.037557,0.096533,0.025285,0.073015,0.018748,0.536518,0.011663,0.040680,0.000005,1.124629,0.005888
,,20000,0.117257,0.030763,0.849027,0.023458,0.117257,0.030763,0.127635,0.045690,0.151580,0.013221,0.684112,0.043561,0.132009,0.021008,0.103755,0.026670,0.549419,0.017179,0.092171,0.000024,1.319765,0.006880
,,30000,0.153411,0.056662,0.859357,0.003549,0.153411,0.056662,0.165892,0.090083,0.155568,0.013859,0.701785,0.036122,0.146235,0.026243,0.140005,0.026841,0.566562,0.031363,0.140801,0.000061,1.381135,0.004495
,,40000,0.167767,0.059915,0.859418,0.004823,0.167767,0.059915,0.177578,0.097378,0.154865,0.015564,0.716735,0.031919,0.148111,0.027592,0.155885,0.025661,0.572586,0.032128,0.200591,0.000139,1.554122,0.015701
